"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","H","ISO","BABIP","BB%","K%","Bat","PA","playerid"
"Cameron Rupp","Phillies","28.6 %","70.3 %","47.5 %","56.6 %","78.5 %","71.3 %","45.2 %","61.3 %","13.6 %","225",".181",".300","7.8 %","28.5 %","-14.3","1049","11146"
"Salvador Perez","Royals","46.1 %","70.9 %","56.4 %","69.2 %","90.5 %","80.3 %","41.5 %","64.3 %","11.1 %","455",".190",".270","3.2 %","18.8 %","-23.5","1907","7304"
"Victor Martinez","Tigers","32.2 %","67.6 %","47.4 %","78.0 %","90.8 %","85.8 %","42.8 %","57.9 %","6.7 %","437",".133",".273","7.5 %","12.8 %","-24.2","1856","393"
"Gregor Blanco","- - -","23.3 %","64.7 %","42.4 %","64.9 %","89.0 %","81.9 %","46.0 %","59.3 %","7.6 %","233",".109",".319","10.5 %","20.0 %","-12.9","1031","3123"
"Jose Reyes","- - -","32.1 %","65.2 %","46.5 %","72.7 %","90.5 %","83.6 %","43.4 %","61.2 %","7.6 %","348",".137",".279","7.5 %","14.2 %","-23.7","1511","1736"
"Trevor Plouffe","- - -","26.1 %","65.7 %","44.8 %","64.9 %","86.7 %","80.0 %","47.2 %","64.4 %","9.0 %","280",".165",".272","7.5 %","21.2 %","-20.2","1293","7462"
"Tucker Barnhart","Reds","28.6 %","72.0 %","47.8 %","67.9 %","89.5 %","82.3 %","44.3 %","59.6 %","8.4 %","329",".112",".301","9.5 %","16.9 %","-26.3","1444","10200"
"Alex Gordon","Royals","25.6 %","68.2 %","44.7 %","56.0 %","85.7 %","76.3 %","45.0 %","59.2 %","10.5 %","359",".134",".290","9.6 %","24.4 %","-29.4","1773","5209"
"Mike Zunino","Mariners","31.5 %","71.2 %","49.2 %","46.9 %","75.0 %","65.0 %","44.7 %","63.6 %","17.2 %","230",".209",".281","7.5 %","35.9 %","-11.6","1232","13265"
"Tim Anderson","White Sox","39.6 %","70.1 %","53.0 %","55.7 %","83.9 %","72.1 %","44.1 %","66.1 %","14.8 %","349",".152",".334","3.5 %","26.2 %","-20.0","1399","15172"
"Angel Pagan","Giants","24.9 %","60.9 %","41.0 %","81.0 %","93.7 %","89.5 %","44.8 %","57.2 %","4.3 %","271",".105",".304","6.8 %","14.5 %","-11.8","1094","2918"
"Kevin Pillar","Blue Jays","39.7 %","64.6 %","51.0 %","71.4 %","91.2 %","82.7 %","45.3 %","63.8 %","8.8 %","544",".132",".294","4.5 %","15.2 %","-37.2","2210","12434"
"Ketel Marte","- - -","30.0 %","66.2 %","46.2 %","73.5 %","90.6 %","84.5 %","44.8 %","62.4 %","7.2 %","310",".119",".297","7.6 %","15.9 %","-22.5","1324","13613"
"Chase Utley","- - -","23.0 %","58.8 %","39.7 %","71.5 %","91.4 %","85.2 %","46.7 %","59.0 %","5.8 %","313",".142",".270","7.9 %","17.6 %","-22.5","1492","1679"
"Jose Peraza","- - -","34.9 %","68.4 %","50.1 %","73.9 %","93.9 %","86.3 %","45.2 %","64.0 %","6.9 %","316",".082",".315","4.2 %","12.4 %","-27.1","1202","13593"
"Michael A. Taylor","Nationals","31.2 %","73.0 %","50.4 %","53.9 %","77.7 %","69.7 %","45.9 %","64.5 %","15.2 %","334",".158",".331","6.9 %","30.9 %","-30.8","1486","11489"
"Delino DeShields","Rangers","22.4 %","56.7 %","39.0 %","56.5 %","87.0 %","78.0 %","48.5 %","63.6 %","8.6 %","305",".098",".319","10.0 %","23.0 %","-33.9","1446","11379"
"Rajai Davis","- - -","33.3 %","70.5 %","50.5 %","61.9 %","88.5 %","79.0 %","46.0 %","62.9 %","10.6 %","315",".133",".301","6.5 %","21.3 %","-29.2","1392","3708"
"Jason Castro","- - -","25.0 %","67.9 %","45.0 %","53.0 %","78.6 %","71.0 %","46.8 %","59.3 %","13.0 %","235",".152",".295","10.7 %","30.2 %","-22.5","1232","8722"
"Matt Wieters","- - -","32.3 %","71.0 %","48.9 %","70.4 %","84.7 %","79.3 %","42.8 %","58.5 %","10.1 %","284",".143",".274","7.8 %","20.0 %","-31.1","1307","4298"
"Jace Peterson","- - -","24.6 %","61.8 %","41.1 %","62.3 %","88.1 %","79.5 %","44.4 %","56.8 %","8.4 %","281",".108",".288","11.4 %","19.9 %","-28.6","1379","12325"
"Jordy Mercer","Pirates","28.4 %","60.1 %","43.2 %","69.7 %","91.3 %","83.8 %","46.8 %","59.4 %","7.0 %","432",".121",".290","7.9 %","16.5 %","-40.1","1900","6547"
"Miguel Rojas","Marlins","34.2 %","65.2 %","48.3 %","73.6 %","93.3 %","85.7 %","45.7 %","61.4 %","6.9 %","248",".086",".296","6.6 %","11.9 %","-20.9","1028","7802"
"Jose Iglesias","Tigers","36.5 %","56.9 %","46.1 %","80.2 %","95.7 %","89.2 %","46.9 %","61.4 %","5.0 %","447",".092",".295","4.8 %","10.7 %","-42.9","1799","10231"
"Jarrod Dyson","- - -","24.8 %","62.9 %","43.0 %","74.5 %","91.7 %","86.5 %","47.7 %","61.3 %","5.8 %","259",".102",".283","8.0 %","13.9 %","-26.8","1189","4866"
"Dansby Swanson","Braves","30.3 %","66.6 %","46.1 %","62.1 %","86.9 %","77.7 %","43.6 %","60.8 %","10.2 %","228",".119",".315","9.3 %","22.8 %","-27.8","1023","18314"
"Hernan Perez","- - -","41.0 %","67.8 %","53.2 %","66.5 %","85.3 %","77.4 %","45.5 %","66.8 %","12.0 %","336",".138",".302","3.9 %","20.2 %","-39.8","1373","5751"
"James McCann","Tigers","35.2 %","65.8 %","49.1 %","59.5 %","87.4 %","76.5 %","45.4 %","60.8 %","11.5 %","331",".133",".298","5.6 %","23.7 %","-37.7","1473","12859"
"Yolmer Sanchez","White Sox","35.2 %","66.9 %","49.5 %","68.6 %","86.2 %","79.3 %","45.0 %","62.6 %","10.2 %","338",".135",".296","5.4 %","20.5 %","-33.5","1499","11602"
"Byron Buxton","Twins","32.3 %","65.7 %","47.9 %","50.1 %","81.9 %","70.5 %","46.7 %","61.3 %","14.2 %","225",".157",".320","6.5 %","31.7 %","-30.7","1074","14161"
"Ben Revere","- - -","27.5 %","57.4 %","41.2 %","80.8 %","96.3 %","90.7 %","45.9 %","57.8 %","3.8 %","337",".074",".299","4.9 %","9.3 %","-34.8","1317","4712"
"Jake Marisnick","Astros","34.2 %","72.2 %","51.3 %","56.1 %","80.6 %","71.6 %","45.0 %","64.5 %","14.6 %","226",".167",".299","5.5 %","31.4 %","-24.2","1108","11339"
"Leonys Martin","- - -","31.8 %","68.9 %","48.5 %","57.8 %","83.1 %","73.9 %","44.9 %","64.2 %","12.6 %","284",".130",".290","7.1 %","23.9 %","-34.6","1330","11846"
"Pablo Sandoval","- - -","44.2 %","73.1 %","55.8 %","75.6 %","84.5 %","80.2 %","40.2 %","62.9 %","11.0 %","223",".134",".265","5.9 %","17.5 %","-28.8","1016","5409"
"Freddy Galvis","- - -","37.2 %","67.2 %","50.4 %","70.9 %","88.9 %","81.5 %","44.0 %","61.0 %","9.3 %","524",".118",".293","5.7 %","19.1 %","-68.6","2282","6609"
"Yan Gomes","Indians","36.7 %","72.2 %","53.1 %","61.1 %","84.9 %","76.0 %","46.2 %","64.1 %","12.7 %","266",".168",".271","5.4 %","27.0 %","-40.0","1307","9627"
"Danny Espinosa","- - -","34.5 %","72.4 %","50.9 %","52.3 %","78.6 %","68.5 %","43.4 %","58.7 %","15.8 %","242",".154",".274","8.3 %","29.7 %","-40.4","1308","9219"
"Chris Owings","Diamondbacks","37.5 %","70.7 %","52.9 %","61.2 %","88.2 %","77.9 %","46.4 %","64.7 %","11.6 %","380",".125",".310","4.9 %","23.2 %","-64.5","1659","10030"
"Derek Norris","- - -","26.9 %","66.2 %","45.6 %","53.4 %","87.5 %","77.0 %","47.6 %","59.6 %","10.5 %","242",".153",".269","6.8 %","26.2 %","-34.1","1213","6867"
"Ichiro Suzuki","- - -","27.7 %","61.4 %","43.8 %","79.0 %","91.4 %","87.3 %","47.6 %","57.8 %","5.6 %","245",".065",".289","7.6 %","12.7 %","-32.9","1065","1101"
"Adeiny Hechavarria","- - -","37.1 %","71.1 %","53.0 %","72.0 %","89.1 %","82.7 %","46.8 %","64.4 %","9.1 %","391",".097",".296","5.0 %","15.5 %","-49.8","1616","10459"
"Nick Ahmed","Diamondbacks","32.4 %","68.4 %","49.0 %","59.9 %","87.4 %","77.6 %","46.2 %","65.9 %","10.9 %","270",".143",".262","6.1 %","19.3 %","-50.1","1282","12147"
"Martin Maldonado","- - -","31.0 %","63.1 %","45.7 %","56.2 %","85.6 %","74.8 %","45.8 %","62.6 %","11.4 %","244",".127",".272","6.8 %","24.5 %","-42.0","1257","6887"
"Erick Aybar","- - -","36.6 %","66.9 %","49.8 %","76.2 %","93.2 %","86.1 %","43.6 %","65.4 %","6.9 %","340",".083",".286","5.7 %","13.6 %","-48.7","1467","4082"
"Billy Hamilton","Reds","28.2 %","64.4 %","44.9 %","69.7 %","88.0 %","81.8 %","46.3 %","63.8 %","8.2 %","412",".081",".304","7.6 %","20.5 %","-75.3","1879","10199"
"Ryan Goins","- - -","30.7 %","60.7 %","44.2 %","67.8 %","87.6 %","80.1 %","45.0 %","60.9 %","8.8 %","253",".111",".285","6.9 %","21.3 %","-46.9","1203","9807"
"Alexei Ramirez","- - -","33.5 %","66.7 %","48.5 %","75.0 %","90.8 %","84.8 %","45.3 %","65.4 %","7.3 %","260",".101",".265","4.6 %","11.6 %","-40.8","1128","5133"
"J.J. Hardy","Orioles","26.3 %","51.1 %","38.3 %","70.4 %","92.3 %","84.5 %","48.4 %","61.6 %","5.9 %","254",".113",".273","5.1 %","17.8 %","-47.1","1143","3797"
"Alcides Escobar","Royals","37.0 %","70.4 %","52.4 %","71.1 %","87.8 %","81.5 %","46.2 %","67.0 %","9.7 %","538",".085",".280","3.7 %","13.8 %","-106.5","2327","6310"
